Country,GDP_per_capita_adjusted,Gasoline_equivalent_per_capita_liters,Annotation
India,2000,20,
India,2500,30,
India,3000,40,
India,3500,50,
India,4000,60,
India,5000,70,
India,6000,75,
India,7000,75,
India,8000,78,
India,9000,82,
India,10000,85,
India,11000,88,
India,12000,90,EVs hit 5% of car sales
China,3000,55,
China,3500,65,
China,4000,75,
China,4500,85,
China,5000,92,
China,6000,105,
China,7000,115,
China,8000,130,
China,9000,145,
China,10000,155,
China,11000,165,
China,12000,175,
China,13000,185,
China,14000,195,
China,15000,200,
China,16000,215,
China,17000,225,EVs hit 5% of car sales
China,18000,230,
China,21000,240,
China,23000,225,
China,25000,225,
China,27000,220,
China,28000,215,
