Zeit,Group: mittleres Jahr (2010-2021) - b...,Value
Jan,aktuelles Jahr (2025),1008.0
Feb,aktuelles Jahr (2025),1901.0
Mrz,aktuelles Jahr (2025),4243.0
Apr,aktuelles Jahr (2025),5364.0
Mai,aktuelles Jahr (2025),5730.0
Jun,aktuelles Jahr (2025),7982.0
Jul,aktuelles Jahr (2025),9509.0
Aug,aktuelles Jahr (2025),10440.0
Sep,aktuelles Jahr (2025),13444.0
Okt,aktuelles Jahr (2025),15628.0
Nov,aktuelles Jahr (2025),
Dez,aktuelles Jahr (2025),
Jan,letztes Jahr (2024),447.0
Feb,letztes Jahr (2024),1128.0
Mrz,letztes Jahr (2024),2711.0
Apr,letztes Jahr (2024),3231.0
Mai,letztes Jahr (2024),3746.0
Jun,letztes Jahr (2024),5066.0
Jul,letztes Jahr (2024),5905.0
Aug,letztes Jahr (2024),6600.0
Sep,letztes Jahr (2024),9226.0
Okt,letztes Jahr (2024),11064.0
Nov,letztes Jahr (2024),11583.0
Dez,letztes Jahr (2024),14073.0
Jan,mittleres Jahr (2013-2023),250.0
Feb,mittleres Jahr (2013-2023),498.0
Mrz,mittleres Jahr (2013-2023),955.0
Apr,mittleres Jahr (2013-2023),1197.0
Mai,mittleres Jahr (2013-2023),1366.0
Jun,mittleres Jahr (2013-2023),1717.0
Jul,mittleres Jahr (2013-2023),2091.0
Aug,mittleres Jahr (2013-2023),2348.0
Sep,mittleres Jahr (2013-2023),2697.0
Okt,mittleres Jahr (2013-2023),2945.0
Nov,mittleres Jahr (2013-2023),3276.0
Dez,mittleres Jahr (2013-2023),4194.0
