Datum,Kapazität_GWh
2014-01,0.0
2014-02,0.0
2014-03,0.0
2014-04,0.0
2014-05,0.0
2014-06,0.0
2014-07,0.0
2014-08,0.0
2014-09,0.00793
2014-10,0.00953
2014-11,0.00953
2014-12,0.00953
2015-01,0.00953
2015-02,0.01223
2015-03,0.01223
2015-04,0.01223
2015-05,0.01223
2015-06,0.01223
2015-07,0.01223
2015-08,0.01823
2015-09,0.02023
2015-10,0.02023
2015-11,0.02023
2015-12,0.02023
2016-01,0.02341
2016-02,0.02341
2016-03,0.02341
2016-04,0.02341
2016-05,0.02341
2016-06,0.02441
2016-07,0.035197
2016-08,0.084125
2016-09,0.116625
2016-10,0.134625
2016-11,0.131625
2016-12,0.147571
2017-01,0.147571
2017-02,0.147571
2017-03,0.149771
2017-04,0.165671
2017-05,0.169401
2017-06,0.189931
2017-07,0.22623
2017-08,0.22863
2017-09,0.24403
2017-10,0.24403
2017-11,0.24673
2017-12,0.24798
2018-01,0.24998
2018-02,0.24998
2018-03,0.24998
2018-04,0.30513
2018-05,0.37063
2018-06,0.396129
2018-07,0.405817
2018-08,0.410617
2018-09,0.417117
2018-10,0.417117
2018-11,0.442617
2018-12,0.445557
2019-01,0.448917
2019-02,0.448917
2019-03,0.474807
2019-04,0.474807
2019-05,0.500307
2019-06,0.503047
2019-07,0.530147
2019-08,0.530147
2019-09,0.530147
2019-10,0.530147
2019-11,0.530147
2019-12,0.531654
2020-01,0.533254
2020-02,0.5442124
2020-03,0.5442124
2020-04,0.5442124
2020-05,0.5442124
2020-06,0.5442124
2020-07,0.5517124
2020-08,0.5517124
2020-09,0.5517124
2020-10,0.5538604
2020-11,0.6064904
2020-12,0.6220654
2021-01,0.6322054
2021-02,0.6384494
2021-03,0.6384494
2021-04,0.6384494
2021-05,0.6384494
2021-06,0.6384494
2021-07,0.6384494
2021-08,0.6484494
2021-09,0.6484494
2021-10,0.6514594
2021-11,0.6551724
2021-12,0.6739924
2022-01,0.6913634
2022-02,0.6913634
2022-03,0.6924314
2022-04,0.7132904
2022-05,0.7169684
2022-06,0.7267084
2022-07,0.7284084
2022-08,0.73924888
2022-09,0.78051048
2022-10,0.8166385
2022-11,0.9147097
2022-12,1.2171477
2023-01,1.2406197
2023-02,1.2522967
2023-03,1.2758799
2023-04,1.3159741
2023-05,1.3251051
2023-06,1.3494155
2023-07,1.3494155
2023-08,1.3494155
2023-09,1.4069177
2023-10,1.4403997
2023-11,1.5152625
2023-12,1.5265745
2024-01,1.6136905
2024-02,1.6821925
2024-03,1.6942345
2024-04,1.7461853
2024-05,1.7622793
2024-06,1.7859043
2024-07,1.8567016
2024-08,1.9302877
2024-09,1.9540397
2024-10,1.9701707
2024-11,2.1265736
2024-12,2.342
2025-01,2.3508592
2025-02,2.5266372
2025-03,2.7992591
2025-04,2.8319861
2025-05,2.8719355
2025-06,3.0505908
2025-07,3.1093215
2025-08,3.1944506
2025-09,3.22388
2025-10,3.242367
2025-11,3.455457
2025-12,3.5846673
